id,order_id,customer_id,customer_segment,amount_inr,payment_method,bank,is_high_value,status,latency_ms,failure_code,failure_reason,is_soft_failure,retry_count
pay_42_00000,order_42_00000,cust_67656,New,2344.76,UPI,Bank A,False,captured,722.1,,,False,0
pay_42_00001,order_42_00001,cust_56546,New,1505.69,Wallets,Bank B,False,captured,838.6,,,False,0
pay_42_00002,order_42_00002,cust_28157,VIP,3540.51,Cards,Bank C,False,captured,1799.7,,,False,0
pay_42_00003,order_42_00003,cust_45932,New,207.27,UPI,Bank C,False,captured,691.7,,,False,0
pay_42_00004,order_42_00004,cust_25540,New,2729.69,UPI,Bank C,False,failed,779.5,GATEWAY_TIMEOUT,Payment gateway response timed out after 5000ms,True,0
pay_42_00005,order_42_00005,cust_51203,Returning,1054.95,UPI,Bank C,False,captured,959.1,,,False,0
pay_42_00006,order_42_00006,cust_52832,New,561.56,UPI,Bank C,False,captured,654.3,,,False,0
pay_42_00007,order_42_00007,cust_93384,Returning,937.66,NetBanking,Bank C,False,failed,2078.5,GATEWAY_TIMEOUT,Payment gateway response timed out after 5000ms,True,0
pay_42_00008,order_42_00008,cust_55875,New,137.52,Cards,Bank A,False,captured,2235.3,,,False,0
pay_42_00009,order_42_00009,cust_15867,Returning,1222.5,Cards,Bank B,False,captured,2342.2,,,False,0
pay_42_00010,order_42_00010,cust_84229,New,290.22,UPI,Bank A,False,captured,632.3,,,False,0
pay_42_00011,order_42_00011,cust_20310,New,210.05,Wallets,Bank D,False,captured,835.4,,,False,0
pay_42_00012,order_42_00012,cust_92839,VIP,389.98,Cards,Bank D,False,captured,2098.8,,,False,0
pay_42_00013,order_42_00013,cust_18947,New,2471.77,UPI,Bank A,False,captured,838.2,,,False,0
pay_42_00014,order_42_00014,cust_58785,Returning,433.0,UPI,Bank C,False,captured,818.6,,,False,0
pay_42_00015,order_42_00015,cust_76972,New,3765.85,UPI,Bank D,False,captured,681.2,,,False,0
pay_42_00016,order_42_00016,cust_40979,New,475.42,UPI,Bank A,False,captured,788.9,,,False,0
pay_42_00017,order_42_00017,cust_62774,Returning,147.33,UPI,Bank B,False,captured,788.7,,,False,0
pay_42_00018,order_42_00018,cust_17370,New,265.99,UPI,Bank D,False,captured,980.4,,,False,0
pay_42_00019,order_42_00019,cust_81947,Returning,2795.63,UPI,Bank A,False,captured,847.6,,,False,0
pay_42_00020,order_42_00020,cust_83984,VIP,1529.29,Cards,Bank C,False,captured,1947.4,,,False,0
pay_42_00021,order_42_00021,cust_85609,Returning,469.52,UPI,Bank A,False,captured,885.5,,,False,0
pay_42_00022,order_42_00022,cust_50696,VIP,2097.45,UPI,Bank D,False,captured,865.4,,,False,0
pay_42_00023,order_42_00023,cust_16089,New,1341.82,UPI,Bank D,False,captured,420.2,,,False,0
pay_42_00024,order_42_00024,cust_32195,New,2483.44,UPI,Bank D,False,captured,698.8,,,False,0
pay_42_00025,order_42_00025,cust_26555,New,3458.19,Cards,Bank B,False,captured,1679.1,,,False,0
pay_42_00026,order_42_00026,cust_36347,Returning,566.93,UPI,Bank C,False,captured,819.7,,,False,0
pay_42_00027,order_42_00027,cust_59056,VIP,474.57,UPI,Bank C,False,captured,711.6,,,False,0
pay_42_00028,order_42_00028,cust_51850,New,537.29,UPI,Bank A,False,captured,736.1,,,False,0
pay_42_00029,order_42_00029,cust_72320,Returning,1053.93,UPI,Bank C,False,captured,870.7,,,False,0
pay_42_00030,order_42_00030,cust_71822,New,309.9,Cards,Bank A,False,captured,1570.4,,,False,0
pay_42_00031,order_42_00031,cust_62248,Returning,311.95,UPI,Bank B,False,captured,800.9,,,False,0
pay_42_00032,order_42_00032,cust_97902,Returning,1145.72,UPI,Bank A,False,captured,754.5,,,False,0
pay_42_00033,order_42_00033,cust_85163,VIP,1702.42,NetBanking,Bank A,False,captured,3182.9,,,False,0
pay_42_00034,order_42_00034,cust_82095,Returning,839.49,Wallets,Bank A,False,captured,858.0,,,False,0
pay_42_00035,order_42_00035,cust_97593,New,380.51,Cards,Bank C,False,captured,1787.8,,,False,0
pay_42_00036,order_42_00036,cust_10924,New,645.23,UPI,Bank A,False,captured,918.7,,,False,0
pay_42_00037,order_42_00037,cust_81042,New,322.39,UPI,Bank C,False,captured,723.8,,,False,0
pay_42_00038,order_42_00038,cust_21781,New,1978.71,Cards,Bank A,False,captured,1644.8,,,False,0
pay_42_00039,order_42_00039,cust_46133,New,2287.58,UPI,Bank A,False,captured,717.8,,,False,0
pay_42_00040,order_42_00040,cust_30470,Returning,128.23,UPI,Bank B,False,captured,360.6,,,False,0
pay_42_00041,order_42_00041,cust_47038,Returning,320.69,UPI,Bank C,False,captured,1107.9,,,False,0
pay_42_00042,order_42_00042,cust_67174,Returning,181.9,UPI,Bank A,False,captured,690.8,,,False,0
pay_42_00043,order_42_00043,cust_70610,New,424.1,NetBanking,Bank B,False,captured,3204.7,,,False,0
pay_42_00044,order_42_00044,cust_92936,Returning,747.37,UPI,Bank C,False,captured,823.5,,,False,0
pay_42_00045,order_42_00045,cust_51798,Returning,190.63,Cards,Bank B,False,captured,2107.1,,,False,0
pay_42_00046,order_42_00046,cust_85242,New,323.16,UPI,Bank A,False,captured,1115.6,,,False,0
pay_42_00047,order_42_00047,cust_62151,Returning,297.69,UPI,Bank A,False,captured,889.5,,,False,0
pay_42_00048,order_42_00048,cust_36299,Returning,999.51,UPI,Bank C,False,captured,907.0,,,False,0
pay_42_00049,order_42_00049,cust_40063,New,870.74,UPI,Bank A,False,captured,788.1,,,False,0
pay_42_00050,order_42_00050,cust_89854,Returning,394.75,Wallets,Bank C,False,captured,733.8,,,False,0
pay_42_00051,order_42_00051,cust_37672,Returning,969.54,Cards,Bank B,False,captured,1949.8,,,False,0
pay_42_00052,order_42_00052,cust_37281,New,470.28,NetBanking,Bank D,False,captured,3033.1,,,False,0
pay_42_00053,order_42_00053,cust_60494,VIP,1362.13,NetBanking,Bank C,False,captured,2693.9,,,False,0
pay_42_00054,order_42_00054,cust_96126,Returning,4330.56,UPI,Bank D,False,captured,973.0,,,False,0
pay_42_00055,order_42_00055,cust_90863,Returning,3104.04,NetBanking,Bank B,False,captured,3893.2,,,False,0
pay_42_00056,order_42_00056,cust_42230,Returning,221.5,UPI,Bank C,False,captured,816.6,,,False,0
pay_42_00057,order_42_00057,cust_78876,New,1862.61,UPI,Bank B,False,captured,876.1,,,False,0
pay_42_00058,order_42_00058,cust_79806,Returning,1828.77,UPI,Bank B,False,captured,610.8,,,False,0
pay_42_00059,order_42_00059,cust_59646,Returning,257.68,UPI,Bank B,False,captured,876.1,,,False,0
pay_42_00060,order_42_00060,cust_31650,New,1842.31,UPI,Bank C,False,captured,1101.6,,,False,0
pay_42_00061,order_42_00061,cust_49661,Returning,3781.71,UPI,Bank D,False,failed,651.4,GATEWAY_TIMEOUT,Payment gateway response timed out after 5000ms,True,0
pay_42_00062,order_42_00062,cust_16869,Returning,264.4,Cards,Bank C,False,captured,2492.1,,,False,0
pay_42_00063,order_42_00063,cust_54306,Returning,324.57,UPI,Bank B,False,captured,773.2,,,False,0
pay_42_00064,order_42_00064,cust_93232,New,2247.7,UPI,Bank B,False,captured,983.1,,,False,0
pay_42_00065,order_42_00065,cust_55747,Returning,1065.82,UPI,Bank C,False,captured,668.5,,,False,0
pay_42_00066,order_42_00066,cust_29023,New,1410.19,UPI,Bank A,False,captured,680.7,,,False,0
pay_42_00067,order_42_00067,cust_91533,New,1142.06,Cards,Bank A,False,captured,1927.3,,,False,0
pay_42_00068,order_42_00068,cust_55039,New,1200.74,UPI,Bank B,False,captured,823.6,,,False,0
pay_42_00069,order_42_00069,cust_18876,New,215.62,Wallets,Bank A,False,captured,901.1,,,False,0
pay_42_00070,order_42_00070,cust_41658,Returning,2315.35,Cards,Bank A,False,captured,1625.5,,,False,0
pay_42_00071,order_42_00071,cust_11375,Returning,2616.49,UPI,Bank A,False,captured,623.9,,,False,0
pay_42_00072,order_42_00072,cust_95216,New,645.88,UPI,Bank A,False,captured,971.4,,,False,0
pay_42_00073,order_42_00073,cust_31398,Returning,777.84,Cards,Bank A,False,captured,1280.2,,,False,0
pay_42_00074,order_42_00074,cust_72766,Returning,175.72,Cards,Bank D,False,captured,1481.0,,,False,0
pay_42_00075,order_42_00075,cust_27065,Returning,1358.66,Cards,Bank B,False,captured,1585.7,,,False,0
pay_42_00076,order_42_00076,cust_39320,New,1439.51,Cards,Bank B,False,captured,1621.4,,,False,0
pay_42_00077,order_42_00077,cust_91720,Returning,763.42,UPI,Bank C,False,captured,794.7,,,False,0
